"","s0"
"1",121470.891341016
"2",158297.069289138
"3",181243.798237712
"4",196313.225221875
"5",204217.076157986
"6",171363.335664765
"7",179558.578250833
"8",161796.881312261
"9",198466.901793838
"10",116634.982706042
"11",197383.731462087
"12",99039.4049128319
"13",97833.8562544154
"14",150591.003113802
"15",115359.651884019
"16",350508.475711351
"17",256691.672468371
"18",291048.526793928
"19",288295.825758095
"20",440228.055490865
"21",326549.180018496
"22",218566.549411911
"23",182638.626442437
"24",163458.093586081
"25",194488.424706201
"26",198775.678591987
"27",324824.476159899
"28",233482.196393853
"29",193668.429972579
"30",225195.543129298
"31",196648.55614721
"32",99534.3592581878
"33",180015.753340504
"34",293374.768691482
"35",294749.346209224
"36",226166.339884401
"37",182190.508080272
"38",163575.747782021
"39",162808.514549138
"40",156108.633816003
"41",170792.361270086
"42",150406.525361288
"43",278207.440840057
"44",239421.613316902
"45",223073.980823027
"46",191648.376807764
"47",247091.092230038
"48",202055.324004404
"49",161782.117629893
"50",142472.486527175
"51",148090.073041365
"52",175846.724014562
"53",148155.232142304
"54",148318.658695708
"55",193785.925367427
"56",154219.433090511
"57",171816.948545487
"58",136947.797151294
"59",212416.293192136
"60",127503.18040013
"61",129863.737690281
"62",179313.227237361
"63",111112.34483116
"64",121002.187755963
"65",119860.432576874
"66",115205.060672968
"67",109186.42975504
"68",139981.758533364
"69",148005.159413487
"70",173977.075558223
"71",109305.680141593
"72",98409.5858043375
"73",147769.831316297
"74",123026.071050041
"75",150045.597845209
"76",109456.383473322
"77",67531.448001679
"78",150973.531178752
"79",194284.597378967
"80",94058.2864096128
"81",139312.398458813
"82",142107.851905013
"83",191626.351612143
"84",90577.2463169177
"85",115616.345857948
"86",138090.097123518
"87",127819.201878418
"88",137770.445488591
"89",121858.776774069
"90",131684.193600434
"91",109857.886060489
"92",132941.435204097
"93",144881.690573123
"94",118420.617923454
"95",165284.186017789
"96",94937.5584759613
"97",108998.538217155
"98",105043.747512153
"99",64824.2978098596
"100",138408.136228412
"101",125805.728182864
"102",131596.261605032
"103",117935.694834787
"104",163642.190391319
"105",150516.07527802
"106",235737.614995293
"107",81117.6492370957
"108",230239.583826854
"109",122276.738934901
"110",145503.78903832
"111",132080.650480655
"112",143746.714815817
"113",234526.051025422
"114",127279.878874101
"115",222830.85823965
"116",242586.149212664
"117",179194.79382499
"118",144659.859823643
"119",148669.094520905
"120",196636.0600198
"121",154367.79366022
"122",124043.914294836
"123",288617.196789756
"124",219339.180474478
"125",139567.93286991
"126",65317.1990275751
"127",103518.810350459
"128",146330.276434304
"129",101983.643886009
"130",140696.933873091
"131",93130.2206167386
"132",113339.843702028
"133",124638.885457557
"134",115462.247290518
"135",110136.977089752
"136",224950.952895309
"137",193297.734910588
"138",231147.012183453
"139",171581.193010142
"140",165605.133642781
"141",63831.7670539376
"142",115878.230184281
"143",72615.1484649659
"144",245293.651029949
"145",249561.37914481
"146",173549.894134865
"147",178628.534758186
"148",215951.960106983
"149",185746.599562217
"150",150176.081557326
"151",145862.816592526
"152",176469.326457407
"153",166610.565288608
"154",124258.720069731
"155",93026.5127366532
"156",81997.6546024448
"157",96580.984681235
"158",123634.413129125
"159",139916.424360461
"160",156409.317794886
"161",146460.073688708
"162",141381.697731184
"163",256950.678940875
"164",220472.025410391
"165",118516.835539431
"166",172814.242818641
"167",190575.603824954
"168",275283.549766959
"169",184808.530455347
"170",345424.955146248
"171",230027.055022788
"172",250861.639404422
"173",174228.448173212
"174",186004.879182113
"175",179006.187268753
"176",157548.586055539
"177",196799.985670183
"178",190992.250183856
"179",188798.80506883
"180",256835.420566142
"181",186646.568896175
"182",235475.707751604
"183",217903.393681607
"184",232633.000235754
"185",193716.286725797
"186",161676.131389902
"187",161112.092230766
"188",127728.35908904
"189",140725.858078135
"190",111305.715003912
"191",121953.777320345
"192",100938.706642849
"193",103191.600632445
"194",147378.620242343
"195",137328.323577829
"196",143605.533248787
"197",147560.146071236
"198",147812.040626511
"199",117339.911956227
"200",156631.006025806
"201",399244.204763233
"202",389590.577478634
"203",360506.166341128
"204",454520.39261678
"205",296623.326789374
"206",325845.186551353
"207",368485.249274998
"208",327243.735893571
"209",302251.83884671
"210",337235.97212047
"211",266689.722948061
"212",396682.47621052
"213",287258.378793895
"214",248443.971355195
"215",204757.663471719
"216",203488.018687896
"217",225135.189508608
"218",421610.285599743
"219",360294.987439086
"220",323918.843876215
"221",244143.995749496
"222",306011.866087319
"223",193740.774372293
"224",181590.821106823
"225",178266.402315821
"226",172430.849188494
"227",178920.724343781
"228",193942.095345564
"229",196959.548554098
"230",199672.703875296
"231",189796.338060515
"232",262076.717789591
"233",175164.498769158
"234",181815.791793696
"235",167176.224833952
"236",268508.852044115
"237",170287.377380296
"238",339099.695403522
"239",306100.967390943
"240",252005.634365181
"241",276978.649135035
"242",241647.072554145
"243",240732.772855018
"244",274332.457768253
"245",236059.394553138
"246",233025.752538467
"247",210872.188843231
"248",197621.149936535
"249",259549.735497579
"250",216350.871097348
