"","s0"
"1",123660.068708172
"2",160095.905296656
"3",183537.325415288
"4",199812.877500697
"5",201024.716456982
"6",169535.912346212
"7",172526.916271639
"8",165402.102058871
"9",180176.137465014
"10",119504.704158965
"11",181167.01877645
"12",97297.6001446089
"13",97024.0425388461
"14",144533.884667249
"15",105065.596505887
"16",352171.593765139
"17",252575.415550541
"18",291460.801178396
"19",297478.429508063
"20",452558.401599374
"21",344412.32451972
"22",217324.948228026
"23",179456.52758602
"24",166690.553489019
"25",193236.113503185
"26",196240.246319415
"27",339018.006009889
"28",217979.003330811
"29",193625.931605668
"30",241339.55505551
"31",197712.780404129
"32",99181.6798525404
"33",165293.522711724
"34",300891.114016061
"35",290070.420910351
"36",233075.478156911
"37",171572.35171038
"38",182527.543566325
"39",160584.325290061
"40",158417.784443138
"41",177948.413851502
"42",151908.27521843
"43",285956.927193219
"44",240449.165619004
"45",227597.994611571
"46",186732.743233649
"47",241413.731868059
"48",203784.24939268
"49",156611.839546714
"50",150570.085834155
"51",163553.878344533
"52",173500.312215888
"53",136976.80841326
"54",158825.839549841
"55",184011.444414697
"56",156999.340439439
"57",166086.669841813
"58",133430.806908054
"59",206380.174428228
"60",131176.409665917
"61",134108.230086786
"62",178178.758151207
"63",111579.229380568
"64",111259.610889914
"65",122322.798725591
"66",112234.548061462
"67",110538.5682599
"68",126697.928457193
"69",153273.297816557
"70",179235.355001577
"71",120750.776415859
"72",98738.4630301447
"73",150472.383474956
"74",119483.842592911
"75",143591.310083539
"76",109339.793781124
"77",69579.1499396619
"78",151203.611428518
"79",184981.131354327
"80",86831.5430032421
"81",131312.438842763
"82",146816.393380275
"83",180509.074253865
"84",90510.055149626
"85",111585.775864643
"86",145831.513700085
"87",136678.890139745
"88",129911.414909368
"89",121296.758290464
"90",140218.603334827
"91",104963.136765619
"92",138019.716043497
"93",141477.902427245
"94",115732.463525215
"95",171045.574322209
"96",96861.9659597366
"97",108445.896598875
"98",104430.453913489
"99",64302.1665250596
"100",143139.773869833
"101",116160.091642491
"102",133401.14478454
"103",117922.701833896
"104",160474.623216119
"105",151386.285184574
"106",227809.79780963
"107",80267.8102443256
"108",259666.0165269
"109",136273.621284349
"110",140084.750777094
"111",117997.667933267
"112",135659.645668129
"113",233707.641768262
"114",126507.187851333
"115",225658.53819022
"116",243421.708208017
"117",181817.044245816
"118",143358.956607511
"119",153223.410442301
"120",196346.999496078
"121",158300.707209873
"122",124101.766267459
"123",296854.488049312
"124",216996.427755657
"125",140587.777381759
"126",73208.803102404
"127",109792.285068701
"128",147055.426627583
"129",98413.8759332683
"130",128462.065279876
"131",93506.7786077051
"132",114065.489371392
"133",128805.354388591
